sku_id,recorded_date,opening_stock,units_sold,units_received,closing_stock
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-19,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-20,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-21,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-22,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-23,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-24,0,3,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-25,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-26,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-27,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-28,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-29,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-30,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01-31,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-01,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-02,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-03,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-04,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-05,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-06,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-07,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-08,0,2,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-09,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-10,0,1,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-11,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,2018-02-12,0,2,0,0
