po_id,sku_id,status,ai_recommended_qty,ai_guardrail_flags,ai_drafted_at,human_approved_qty,reviewer_user_id,human_feedback,reviewed_at,executed_at
e572bcda-3129-5178-9873-ca5412a3b7dc,6560211a19b47992c3666cc44a7e94c0,PENDING_APPROVAL,42,[],2018-08-28T09:00:00Z,,,,,
c46055bc-1273-54f4-bf85-b331905a86a1,9f505651f4a6abe901a56cdc21508025,PENDING_APPROVAL,28,[],2018-08-28T09:00:00Z,,,,,
c9be35a6-f1ad-546f-9098-4c7141f3689a,d13e50eaa47b4cbe9eb81465865d8cfc,PENDING_APPROVAL,8,[],2018-08-28T09:00:00Z,,,,,
7aa786f3-335e-55bf-ac0a-e6ee9102294f,da8622b14eb17ae2831f4ac5b9dab84a,PENDING_APPROVAL,31,[],2018-08-28T09:00:00Z,,,,,
fe2f2caf-033f-599d-85d4-c676c2926134,4a3ca9315b744ce9f8e9374361493884,PENDING_APPROVAL,46,[],2018-08-28T09:00:00Z,,,,,
83475620-2b4b-58f7-ab50-5b637e6fe1de,955fee9216a65b617aa5c0531780ce60,PENDING_APPROVAL,35,[],2018-08-28T09:00:00Z,,,,,
57337b8b-4f03-59ac-8d0c-71b0d23f95b8,e9779976487b77c6d4ac45f75ec7afe9,PENDING_APPROVAL,36,[],2018-08-28T09:00:00Z,,,,,
08a7e58b-cf10-5cc3-8bdf-dbabc8c27653,8a432f4e5b471f8da497d7dc517666e2,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,
aa43a7bc-c830-5ba4-ad4e-926969f5aaa8,1025f0e2d44d7041d6cf58b6550e0bfa,PENDING_APPROVAL,31,[],2018-08-28T09:00:00Z,,,,,
c8708737-7f4a-5e63-ae6c-1b26c95e6627,4b9750c8ad28220fe6702d4ecb7c898f,PENDING_APPROVAL,29,[],2018-08-28T09:00:00Z,,,,,
3528f4ee-ab44-5fd1-9ad0-47f3e8489dd4,cc419e0650a3c5ba77189a1882b7556a,PENDING_APPROVAL,22,[],2018-08-28T09:00:00Z,,,,,
136986b5-c41f-56ba-bc28-b3fbf9962674,d91fb3b7d041e83b64a00a3edfb37e4f,PENDING_APPROVAL,15,[],2018-08-28T09:00:00Z,,,,,
488e79bb-9b0d-5551-a0fe-c5ae15a47c11,671585f5a2af58b6e276bc01003c0d2b,PENDING_APPROVAL,4,[],2018-08-28T09:00:00Z,,,,,
3fecf9d4-f9dd-53e3-81e7-6037f66d32b1,4869f7a5dfa277a7dca6462dcf3b52b2,PENDING_APPROVAL,20,[],2018-08-28T09:00:00Z,,,,,
6bf2c1d2-e0d5-552d-9454-4f09099959ff,f8db351d8c4c4c22c6835c19a46f01b0,PENDING_APPROVAL,12,[],2018-08-28T09:00:00Z,,,,,
cb45de1f-d142-50a3-bcb2-c5f092a6c88e,c003204e1ab016dfa150abc119207b24,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,
ece80be3-43b0-5a7e-8732-c1430dc4236c,c70c1b0d8ca86052f45a432a38b73958,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,
05b41370-4e92-5aba-bced-56e06b26693c,8d956fec2e4337affcb520f56fd8cbfd,PENDING_APPROVAL,9,[],2018-08-28T09:00:00Z,,,,,
3b051fc5-8673-598e-acb9-c0f2d75d24a8,81f89e42267213cb94da7ddc301651da,PENDING_APPROVAL,7,[],2018-08-28T09:00:00Z,,,,,
8298a816-3d7d-5e34-868f-35f0a563e496,ea8482cd71df3c1969d7b9473ff13abc,PENDING_APPROVAL,12,[],2018-08-28T09:00:00Z,,,,,
8f58a2b1-9525-59c0-bba8-3608ccea20fe,f80edd2c5aaa505cc4b0a3b219abf4b8,PENDING_APPROVAL,23,[],2018-08-28T09:00:00Z,,,,,
54c0b033-1bfb-5c2d-a4e9-5c4c78a54d50,06a2c3af7b3aee5d69171b0e14f0ee87,PENDING_APPROVAL,19,[],2018-08-28T09:00:00Z,,,,,
046c8282-1db7-59e6-88fb-c5492e8c2631,7ad32824caee82087b3e2e5f33b1bf32,PENDING_APPROVAL,24,[],2018-08-28T09:00:00Z,,,,,
d15be46a-a0e1-5acc-90fe-00f13321de8f,3d871de0142ce09b7081e2b9d1733cb1,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,
006ec7d7-bac8-5fa9-88d1-a31379fd742e,289cdb325fb7e7f891c38608bf9e0962,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,
ebedca5a-548c-5af5-a58f-ecc94aef3611,640e21a7d01df7614a3b4923e990d40c,PENDING_APPROVAL,9,[],2018-08-28T09:00:00Z,,,,,
24383a65-f92f-53df-b1cd-32826d179a06,53e4c6e0f4312d4d2107a8c9cddf45cd,PENDING_APPROVAL,27,[],2018-08-28T09:00:00Z,,,,,
e6e30bb2-be4f-520f-a427-e321826aefa4,6860153b69cc696d5dcfe1cdaaafcf62,PENDING_APPROVAL,6,[],2018-08-28T09:00:00Z,,,,,
48b7736d-f143-5875-82fe-79f50e3e0ab0,1835b56ce799e6a4dc4eddc053f04066,PENDING_APPROVAL,12,[],2018-08-28T09:00:00Z,,,,,
0442484a-c0f7-58d4-8346-5079cbd743b7,cc63f0dd2acba93ffed4fe9f8e0321fa,PENDING_APPROVAL,8,[],2018-08-28T09:00:00Z,,,,,
1de3e5a6-3930-5c79-82e8-5dc798cd075a,1f50f920176fa81dab994f9023523100,PENDING_APPROVAL,12,[],2018-08-28T09:00:00Z,,,,,
a6546ce9-8faa-5ea0-b1ce-acefbfc7eafc,9b013e03b2ab786505a1d3b5c0756754,PENDING_APPROVAL,10,[],2018-08-28T09:00:00Z,,,,,
d8e7c091-6698-51e9-9aaa-0d470f934921,f7ba60f8c3f99e7ee4042fdef03b70c4,PENDING_APPROVAL,8,[],2018-08-28T09:00:00Z,,,,,
be537610-d37b-5f34-977e-90bd805ed11e,1900267e848ceeba8fa32d80c1a5f5a8,PENDING_APPROVAL,14,[],2018-08-28T09:00:00Z,,,,,
96c1ca19-8ae0-5dbe-9c21-146489921c49,16090f2ca825584b5a147ab24aa30c86,PENDING_APPROVAL,19,[],2018-08-28T09:00:00Z,,,,,
9ea4da9a-65ef-56a7-b2c1-ef5ac5ec8e9b,5a413ade68e8f8d93071a7f52a64cb9e,PENDING_APPROVAL,6,[],2018-08-28T09:00:00Z,,,,,
68ad3029-78ee-5835-b5cf-f15d32b9d34c,5656537e588803a555b8eb41f07a944b,PENDING_APPROVAL,9,[],2018-08-28T09:00:00Z,,,,,
64649d77-b97e-5797-8eaf-dc1b91b4ebb0,b39d7fe263ef469605dbb32608aee0af,PENDING_APPROVAL,7,[],2018-08-28T09:00:00Z,,,,,
33d4b559-d1a0-597a-a927-b559b6eab4e7,c33847515fa6305ce6feb1e818569f13,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,
398faedf-5213-56d8-998b-3c91e0993e32,c3cfdc648177fdbbbb35635a37472c53,PENDING_APPROVAL,14,[],2018-08-28T09:00:00Z,,,,,
99dfc7ea-2a15-5819-97fe-ad5e36c47317,2138ccb85b11a4ec1e37afbd1c8eda1f,PENDING_APPROVAL,7,[],2018-08-28T09:00:00Z,,,,,
206e4764-ebe5-511f-8ace-81ff9fba2618,ef2fbc2b607d8492bcffe657a4645434,PENDING_APPROVAL,6,[],2018-08-28T09:00:00Z,,,,,
b9aaba21-5f7a-5e3b-8379-921d57bc1d5e,594f9aaa48e5bf431f011ddc5669b0d5,PENDING_APPROVAL,6,[],2018-08-28T09:00:00Z,,,,,
a34995cd-3fa4-5150-ba69-0f7becc466b3,7d13fca15225358621be4086e1eb0964,PENDING_APPROVAL,14,[],2018-08-28T09:00:00Z,,,,,
58cbaa9b-89ad-5f8e-b66b-c63b58d2d04b,18e694e0e48ed6f7aa3f24aade5fd697,PENDING_APPROVAL,4,[],2018-08-28T09:00:00Z,,,,,
9ebac794-9d51-59df-9905-b9c56225ecba,d566c37fa119d5e66c4e9052e83ee4ea,PENDING_APPROVAL,5,[],2018-08-28T09:00:00Z,,,,,
38a4e8b7-394a-5665-871f-c97bcf9774b4,6edacfd9f9074789dad6d62ba7950b9c,PENDING_APPROVAL,11,[],2018-08-28T09:00:00Z,,,,,
fa94d706-49d7-53bd-8300-c7dc7cc3c81f,7299e27ed73d2ad986de7f7c77d919fa,PENDING_APPROVAL,10,[],2018-08-28T09:00:00Z,,,,,
59e04888-78b3-5390-856d-853c1b810078,391fc6631aebcf3004804e51b40bcf1e,PENDING_APPROVAL,10,[],2018-08-28T09:00:00Z,,,,,
ed6793cb-3f63-5b62-8e6c-3fa4bfe2656b,ea67327e24487bdfac5fbfa37ea124df,PENDING_APPROVAL,7,[],2018-08-28T09:00:00Z,,,,,
