seller_id,day,n_items,pred_naive,pred_snaive,pred_ma,pred_p10,pred_p50,pred_p90
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015a82c2db000af6aaaf3ae2ecb0532,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-14,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-15,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-16,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-17,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-18,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-19,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-20,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-21,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-22,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-23,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-24,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-25,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-26,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
001e6ad469a905060d959994f1b41e4f,2018-08-27,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002100f778ceb8431b7a1020ff7ab48f,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004c9cd9d87a3c30c522c48c4fc07416,2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004c9cd9d87a3c30c522c48c4fc07416,2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004c9cd9d87a3c30c522c48c4fc07416,2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004c9cd9d87a3c30c522c48c4fc07416,2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004c9cd9d87a3c30c522c48c4fc07416,2018-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004c9cd9d87a3c30c522c48c4fc07416,2018-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
