sku_id,store_id,product_category,current_stock,unit_cost,lead_time_days,rank_order
6560211a19b47992c3666cc44a7e94c0,OLIST-BR,General Merchandise,7,33.0,10,0
9f505651f4a6abe901a56cdc21508025,OLIST-BR,General Merchandise,7,32.2,8,1
d13e50eaa47b4cbe9eb81465865d8cfc,OLIST-BR,General Merchandise,7,51.39,5,2
da8622b14eb17ae2831f4ac5b9dab84a,OLIST-BR,General Merchandise,7,59.94,11,3
4a3ca9315b744ce9f8e9374361493884,OLIST-BR,General Merchandise,7,53.94,14,4
955fee9216a65b617aa5c0531780ce60,OLIST-BR,General Merchandise,7,45.98,11,5
e9779976487b77c6d4ac45f75ec7afe9,OLIST-BR,General Merchandise,7,29.07,10,6
8a432f4e5b471f8da497d7dc517666e2,OLIST-BR,General Merchandise,7,39.9,8,7
1025f0e2d44d7041d6cf58b6550e0bfa,OLIST-BR,General Merchandise,7,54.39,12,8
4b9750c8ad28220fe6702d4ecb7c898f,OLIST-BR,General Merchandise,7,29.34,9,9
cc419e0650a3c5ba77189a1882b7556a,OLIST-BR,General Merchandise,7,35.39,12,10
d91fb3b7d041e83b64a00a3edfb37e4f,OLIST-BR,General Merchandise,7,39.69,11,11
671585f5a2af58b6e276bc01003c0d2b,OLIST-BR,General Merchandise,7,27.0,6,12
4869f7a5dfa277a7dca6462dcf3b52b2,OLIST-BR,General Merchandise,7,111.78,15,13
f8db351d8c4c4c22c6835c19a46f01b0,OLIST-BR,General Merchandise,7,29.94,10,14
c003204e1ab016dfa150abc119207b24,OLIST-BR,General Merchandise,7,65.94,10,15
c70c1b0d8ca86052f45a432a38b73958,OLIST-BR,General Merchandise,7,66.19,8,16
8d956fec2e4337affcb520f56fd8cbfd,OLIST-BR,General Merchandise,7,27.44,9,17
81f89e42267213cb94da7ddc301651da,OLIST-BR,General Merchandise,7,45.0,8,18
ea8482cd71df3c1969d7b9473ff13abc,OLIST-BR,General Merchandise,7,16.79,13,19
f80edd2c5aaa505cc4b0a3b219abf4b8,OLIST-BR,General Merchandise,7,35.94,12,20
06a2c3af7b3aee5d69171b0e14f0ee87,OLIST-BR,General Merchandise,7,51.39,18,21
7ad32824caee82087b3e2e5f33b1bf32,OLIST-BR,General Merchandise,7,62.2,12,22
3d871de0142ce09b7081e2b9d1733cb1,OLIST-BR,General Merchandise,7,46.91,13,23
289cdb325fb7e7f891c38608bf9e0962,OLIST-BR,General Merchandise,7,70.56,7,24
640e21a7d01df7614a3b4923e990d40c,OLIST-BR,General Merchandise,7,33.66,10,25
53e4c6e0f4312d4d2107a8c9cddf45cd,OLIST-BR,General Merchandise,7,30.0,12,26
6860153b69cc696d5dcfe1cdaaafcf62,OLIST-BR,General Merchandise,7,25.79,10,27
1835b56ce799e6a4dc4eddc053f04066,OLIST-BR,General Merchandise,7,32.01,13,28
cc63f0dd2acba93ffed4fe9f8e0321fa,OLIST-BR,General Merchandise,7,59.1,9,29
1f50f920176fa81dab994f9023523100,OLIST-BR,General Merchandise,7,34.39,16,30
9b013e03b2ab786505a1d3b5c0756754,OLIST-BR,General Merchandise,7,21.29,8,31
f7ba60f8c3f99e7ee4042fdef03b70c4,OLIST-BR,General Merchandise,7,195.0,13,32
1900267e848ceeba8fa32d80c1a5f5a8,OLIST-BR,General Merchandise,7,29.99,13,33
16090f2ca825584b5a147ab24aa30c86,OLIST-BR,General Merchandise,7,17.57,9,34
5a413ade68e8f8d93071a7f52a64cb9e,OLIST-BR,General Merchandise,4,33.0,4,35
5656537e588803a555b8eb41f07a944b,OLIST-BR,General Merchandise,4,16.13,11,36
b39d7fe263ef469605dbb32608aee0af,OLIST-BR,General Merchandise,4,65.98,13,37
c33847515fa6305ce6feb1e818569f13,OLIST-BR,General Merchandise,4,77.4,10,38
c3cfdc648177fdbbbb35635a37472c53,OLIST-BR,General Merchandise,4,81.09,10,39
2138ccb85b11a4ec1e37afbd1c8eda1f,OLIST-BR,General Merchandise,4,14.99,11,40
ef2fbc2b607d8492bcffe657a4645434,OLIST-BR,General Merchandise,4,29.94,7,41
594f9aaa48e5bf431f011ddc5669b0d5,OLIST-BR,General Merchandise,4,47.94,8,42
7d13fca15225358621be4086e1eb0964,OLIST-BR,General Merchandise,4,114.25,16,43
18e694e0e48ed6f7aa3f24aade5fd697,OLIST-BR,General Merchandise,4,12.54,6,44
d566c37fa119d5e66c4e9052e83ee4ea,OLIST-BR,General Merchandise,4,34.14,6,45
6edacfd9f9074789dad6d62ba7950b9c,OLIST-BR,General Merchandise,4,31.14,9,46
7299e27ed73d2ad986de7f7c77d919fa,OLIST-BR,General Merchandise,4,38.99,11,47
391fc6631aebcf3004804e51b40bcf1e,OLIST-BR,General Merchandise,4,29.97,14,48
ea67327e24487bdfac5fbfa37ea124df,OLIST-BR,General Merchandise,4,95.16,9,49
