sku_id,origin_date,store_id,protection_days,p10_lt,p50_lt,p90_lt
6560211a19b47992c3666cc44a7e94c0,2018-08-14,OLIST-BR,10.7005,7.7610061976546,27.48381783714227,49.454400638599125
9f505651f4a6abe901a56cdc21508025,2018-08-14,OLIST-BR,10.126,3.900118361684912,18.466116964305847,35.077506132499124
d13e50eaa47b4cbe9eb81465865d8cfc,2018-08-14,OLIST-BR,6.079,3.9999991698786608,9.379514150121746,15.25347248244357
da8622b14eb17ae2831f4ac5b9dab84a,2018-08-14,OLIST-BR,12.5505,3.566969746231833,18.690789972490947,38.25278486078671
4a3ca9315b744ce9f8e9374361493884,2018-08-14,OLIST-BR,15.128,8.247111127344311,27.3179709681242,52.6515163164758
955fee9216a65b617aa5c0531780ce60,2018-08-14,OLIST-BR,12.386,4.17433912235398,18.98521597836269,41.630435076928826
e9779976487b77c6d4ac45f75ec7afe9,2018-08-14,OLIST-BR,11.703,4.143126483650966,18.293615955120313,42.50073973071207
8a432f4e5b471f8da497d7dc517666e2,2018-08-14,OLIST-BR,9.4725,2.6262220855974117,12.078566924511728,18.300315182952584
1025f0e2d44d7041d6cf58b6550e0bfa,2018-08-14,OLIST-BR,13.5115,11.036334586835506,25.113151549514455,37.82815324107999
4b9750c8ad28220fe6702d4ecb7c898f,2018-08-14,OLIST-BR,11.651,0.9999997924696652,14.064933337897976,36.40223345470038
cc419e0650a3c5ba77189a1882b7556a,2018-08-14,OLIST-BR,12.7755,3.529382004810714,13.616697835233744,29.245614634755977
d91fb3b7d041e83b64a00a3edfb37e4f,2018-08-14,OLIST-BR,12.571,5.9972549346246025,16.021557290141324,21.888994852220172
671585f5a2af58b6e276bc01003c0d2b,2018-08-14,OLIST-BR,6.7185,4.606242263242719,7.65690058357555,10.987841639096185
4869f7a5dfa277a7dca6462dcf3b52b2,2018-08-14,OLIST-BR,15.664,7.882828513192814,19.368072233141554,27.350560749133468
f8db351d8c4c4c22c6835c19a46f01b0,2018-08-14,OLIST-BR,11.1905,4.403318708713611,13.81355649617574,19.31964550423991
c003204e1ab016dfa150abc119207b24,2018-08-14,OLIST-BR,11.406,3.793676744649304,12.913066832631038,18.224551055991167
c70c1b0d8ca86052f45a432a38b73958,2018-08-14,OLIST-BR,8.862,0.0,10.354946328504425,18.35315649517396
8d956fec2e4337affcb520f56fd8cbfd,2018-08-14,OLIST-BR,10.5355,4.640279595548255,11.65752177406121,16.184745174780474
81f89e42267213cb94da7ddc301651da,2018-08-14,OLIST-BR,8.5925,2.8981561876152386,7.490709059164148,14.008124078866189
ea8482cd71df3c1969d7b9473ff13abc,2018-08-14,OLIST-BR,14.7245,4.004522666075252,13.878185071066596,18.72973585116257
f80edd2c5aaa505cc4b0a3b219abf4b8,2018-08-14,OLIST-BR,13.6585,3.512983751303484,12.144191970938522,29.882711108438826
06a2c3af7b3aee5d69171b0e14f0ee87,2018-08-14,OLIST-BR,18.6415,12.02111204049583,18.753471731385638,25.76299438717342
7ad32824caee82087b3e2e5f33b1bf32,2018-08-14,OLIST-BR,12.9335,3.6825653498052886,13.220168158266166,30.512781229332283
3d871de0142ce09b7081e2b9d1733cb1,2018-08-14,OLIST-BR,14.8105,2.969714982274597,13.502047464175824,18.013427702301623
289cdb325fb7e7f891c38608bf9e0962,2018-08-14,OLIST-BR,7.738,3.247398658813241,11.28429235054914,17.558993367495063
640e21a7d01df7614a3b4923e990d40c,2018-08-14,OLIST-BR,10.664,4.999998962348326,11.070384902842164,15.823970264428851
53e4c6e0f4312d4d2107a8c9cddf45cd,2018-08-14,OLIST-BR,13.659,1.8459947196454456,13.16852422324369,33.57645242947521
