sku_id,target_date,p10_demand,p50_demand,p90_demand,stockout_risk_score,store_id,horizon,incumbent_forecast,actual_demand,model_version
6560211a19b47992c3666cc44a7e94c0,2018-08-14,0.9999997924696652,0.9999997924696652,10.744431274201824,1.0,OLIST-BR,1,7.0,9.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-15,0.9999997924696652,0.9999997924696652,9.270955325655846,1.0,OLIST-BR,2,3.0,10.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-16,0.9999997924696652,0.9999997924696652,8.616460601123551,1.0,OLIST-BR,3,9.0,18.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-17,0.9999997924696652,0.9999997924696652,7.8788030182968765,1.0,OLIST-BR,4,6.0,5.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-18,0.9999997924696652,0.9999997924696652,5.872427269733103,1.0,OLIST-BR,5,5.0,4.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-19,0.9999997924696652,0.9999997924696652,2.674486553328184,1.0,OLIST-BR,6,9.0,2.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-20,0.9999997924696652,0.9999997924696652,6.303355622953348,1.0,OLIST-BR,7,8.0,8.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-21,0.9999997924696652,0.9999997924696652,5.7146808296540135,1.0,OLIST-BR,8,7.0,8.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-22,0.9999997924696652,0.9999997924696652,5.103926038503546,1.0,OLIST-BR,9,3.0,4.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-23,0.9999997924696652,0.9999997924696652,4.774257841213119,1.0,OLIST-BR,10,9.0,6.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-24,0.9999997924696652,0.9999997924696652,5.012538274224683,1.0,OLIST-BR,11,6.0,8.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-25,0.9999997924696652,0.9999997924696652,2.773949893456101,1.0,OLIST-BR,12,5.0,1.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-26,0.9999997924696652,0.9999997924696652,3.0664052269820745,1.0,OLIST-BR,13,9.0,2.0,lgbm_q_recursive_v2
6560211a19b47992c3666cc44a7e94c0,2018-08-27,0.9999997924696652,0.9999997924696652,3.4867355001280327,1.0,OLIST-BR,14,8.0,2.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-14,0.9999997924696652,0.9999997924696652,3.884929940488549,1.0,OLIST-BR,1,2.0,1.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-15,0.9999997924696652,0.9999997924696652,4.9586274576392295,1.0,OLIST-BR,2,0.0,2.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-16,0.9999997924696652,0.9999997924696652,5.096337181421805,1.0,OLIST-BR,3,2.0,8.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-17,0.9999997924696652,0.9999997924696652,3.8875475177751935,1.0,OLIST-BR,4,6.0,2.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-18,0.9999997924696652,0.9999997924696652,3.3616427858765405,1.0,OLIST-BR,5,5.0,3.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-19,0.9999997924696652,0.9999997924696652,2.372180057630916,1.0,OLIST-BR,6,4.0,3.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-20,0.9999997924696652,0.9999997924696652,4.73796254814259,1.0,OLIST-BR,7,1.0,2.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-21,0.9999997924696652,0.9999997924696652,4.745546362533542,1.0,OLIST-BR,8,2.0,2.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-22,0.9999997924696652,0.9999997924696652,4.659630841208289,1.0,OLIST-BR,9,0.0,6.0,lgbm_q_recursive_v2
9f505651f4a6abe901a56cdc21508025,2018-08-23,0.9999997924696652,0.9999997924696652,4.460828624415226,1.0,OLIST-BR,10,2.0,2.0,lgbm_q_recursive_v2
